#struc i-RMSD
2HRK/2HRK_l_u.pdb 0.912
1ML0/1ML0_l_u.pdb 0.913
2SIC/2SIC_l_u.pdb 0.917
1M27/1M27_l_u.pdb 0.920
7CEI/7CEI_l_u.pdb 0.921
1K74/1K74_l_u.pdb 0.926
1BUH/1BUH_l_u.pdb 0.928
1EWY/1EWY_l_u.pdb 0.932
2A9K/2A9K_l_u.pdb 0.944
1AKJ/1AKJ_l_u.pdb 0.945
1E4K/1E4K_l_u.pdb 0.946
1DQJ/1DQJ_l_u.pdb 0.957
3HMX/3HMX_l_u.pdb 0.964
2B42/2B42_l_u.pdb 0.978
BOYV/BOYV_l_u.pdb 0.988
4GXU/4GXU_l_u.pdb 0.990
1JIW/1JIW_l_u.pdb 1.005
1OYV/1OYV_l_u.pdb 1.031
1ZHH/1ZHH_l_u.pdb 1.032
3AAD/3AAD_l_u.pdb 1.036
1WDW/1WDW_l_u.pdb 1.045
1XD3/1XD3_l_u.pdb 1.057
4JCV/4JCV_l_u.pdb 1.059
1JK9/1JK9_l_u.pdb 1.087
1QFW/1QFW_l_u.pdb 1.091
3R9A/3R9A_l_u.pdb 1.092
1RV6/1RV6_l_u.pdb 1.096
3H2V/3H2V_l_u.pdb 1.098
3H11/3H11_l_u.pdb 1.101
2OOB/2OOB_l_u.pdb 1.107
1FCC/1FCC_l_u.pdb 1.131
1FAK/1FAK_l_u.pdb 1.150
1UDI/1UDI_l_u.pdb 1.165
1S1Q/1S1Q_l_u.pdb 1.168
1DFJ/1DFJ_l_u.pdb 1.196
3EO1/3EO1_l_u.pdb 1.196
2B4J/2B4J_l_u.pdb 1.221
2AYO/2AYO_l_u.pdb 1.223
3LVK/3LVK_l_u.pdb 1.228
CP57/CP57_l_u.pdb 1.237
1KAC/1KAC_l_u.pdb 1.243
1Y64/1Y64_l_u.pdb 1.260
1CGI/1CGI_l_u.pdb 1.265
1F34/1F34_l_u.pdb 1.266
1TMQ/1TMQ_l_u.pdb 1.266
1SYX/1SYX_l_u.pdb 1.286
4CPA/4CPA_l_u.pdb 1.301
4FQI/4FQI_l_u.pdb 1.305
2FD6/2FD6_l_u.pdb 1.313
2G77/2G77_l_u.pdb 1.350
1E6J/1E6J_l_u.pdb 1.368
1E6E/1E6E_l_u.pdb 1.378
1WQ1/1WQ1_l_u.pdb 1.388
BAAD/BAAD_l_u.pdb 1.402
1JWH/1JWH_l_u.pdb 1.415
1H9D/1H9D_l_u.pdb 1.424
3BX7/3BX7_l_u.pdb 1.436
1OC0/1OC0_l_u.pdb 1.437
1KXP/1KXP_l_u.pdb 1.438
1RKE/1RKE_l_u.pdb 1.439
3HI6/3HI6_l_u.pdb 1.441
1VFB/1VFB_l_u.pdb 1.448
1AK4/1AK4_l_u.pdb 1.479
1OFU/1OFU_l_u.pdb 1.503
1R8S/1R8S_l_u.pdb 1.528
3DAW/3DAW_l_u.pdb 1.542
1BVK/1BVK_l_u.pdb 1.549
1XU1/1XU1_l_u.pdb 1.578
3V6Z/3V6Z_l_u.pdb 1.584
2A5T/2A5T_l_u.pdb 1.587
1GXD/1GXD_l_u.pdb 1.600
2W9E/2W9E_l_u.pdb 1.624
1Z5Y/1Z5Y_l_u.pdb 1.643
2OOR/2OOR_l_u.pdb 1.662
1ACB/1ACB_l_u.pdb 1.737
1EZU/1EZU_l_u.pdb 1.798
1FLE/1FLE_l_u.pdb 1.807
2ABZ/2ABZ_l_u.pdb 1.838
9QFW/9QFW_l_u.pdb 1.852
2H7V/2H7V_l_u.pdb 1.866
2I9B/2I9B_l_u.pdb 1.892
2J0T/2J0T_l_u.pdb 1.909
2CFH/2CFH_l_u.pdb 1.926
1FFW/1FFW_l_u.pdb 1.969
2O8V/2O8V_l_u.pdb 1.977
2VXT/2VXT_l_u.pdb 1.978
1I4D/1I4D_l_u.pdb 1.997
1R6Q/1R6Q_l_u.pdb 2.088
1GL1/1GL1_l_u.pdb 2.122
2OZA/2OZA_l_u.pdb 2.126
3AAA/3AAA_l_u.pdb 2.139
1HIA/1HIA_l_u.pdb 2.150
4LW4/4LW4_l_u.pdb 2.211
1EER/1EER_l_u.pdb 2.287
1MQ8/1MQ8_l_u.pdb 2.397
1LFD/1LFD_l_u.pdb 2.495
1IBR/1IBR_l_u.pdb 2.549
1B6C/1B6C_l_u.pdb 2.634
1M10/1M10_l_u.pdb 2.638
2NZ8/2NZ8_l_u.pdb 2.649
4FZA/4FZA_l_u.pdb 2.683
2J7P/2J7P_l_u.pdb 2.724
1DE4/1DE4_l_u.pdb 2.802
3G6D/3G6D_l_u.pdb 2.854
1N2C/1N2C_l_u.pdb 2.889
3CPH/3CPH_l_u.pdb 2.889
3SZK/3SZK_l_u.pdb 2.956
3F1P/3F1P_l_u.pdb 3.218
1OPH/1OPH_l_u.pdb 3.234
2Z0E/2Z0E_l_u.pdb 3.309
3L89/3L89_l_u.pdb 3.452
2OT3/2OT3_l_u.pdb 3.801
1ZLI/1ZLI_l_u.pdb 4.030
1BKD/1BKD_l_u.pdb 4.157
2IDO/2IDO_l_u.pdb 4.225
3FN1/3FN1_l_u.pdb 4.552
1FQ1/1FQ1_l_u.pdb 4.614
2O3B/2O3B_l_u.pdb 4.748
2C0L/2C0L_l_u.pdb 5.114
1BGX/1BGX_l_u.pdb 9.200
4GAM/4GAM_l_u.pdb 9.893
1H1V/1H1V_l_u.pdb 10.009
